Symbol,Name,Sector,Price,Price/Earnings(trades at X times the earnings),52 Week High,52 Week Low,52 Week Avg,P/AA %,  52-Week P/AA % Position,Rating,Action,Rate-to-Num,Act-to-Num,PE/R,PE/A
A,Agilent Technologies Inc,Health Care,65.05,27.45,75,49.23,62.115,13.27%,Below 52 Week High ,BETTER,SELL,3,3,9,9
AAL,American Airlines Group,Industrials,48.6,9.92,59.08,39.21,49.145,23.95%,Above 52 Week Low,GOOD,BUY,2,1,5,10
AAP,Advance Auto Parts,Consumer Discretionary,109.63,19.54,169.55,78.81,124.18,39.11%,Above 52 Week Low,GOOD,HOLD,2,2,10,10
AAPL,Apple Inc.,Information Technology,155.15,16.86,180.1,131.12,155.61,18.33%,Above 52 Week Low,BEST,HOLD,1,2,17,8
ABBV,AbbVie Inc.,Health Care,108.48,19.41,125.86,60.05,92.955,13.81%,Below 52 Week High ,BETTER,HOLD,3,2,6,10
ABC,AmerisourceBergen Corp,Health Care,91.55,15.54,106.27,71.9,89.085,13.85%,Below 52 Week High ,BETTER,HOLD,3,2,5,8
ABT,Abbott Laboratories,Health Care,56.27,22.51,64.6,42.28,53.44,12.89%,Below 52 Week High ,BETTER,SELL,3,3,8,8
ACN,Accenture plc,Information Technology,150.51,25.47,162.6,114.82,138.71,7.44%,Below 52 Week High ,BETTER,SELL,3,3,8,8
ADBE,Adobe Systems Inc,Information Technology,185.16,52.31,204.45,114.451,159.4505,9.44%,Below 52 Week High ,BETTER,SELL,3,3,17,17
ADI,"Analog Devices, Inc.",Information Technology,82.68,17.67,98.38,74.65,86.515,10.76%,Above 52 Week Low,BEST,HOLD,1,2,18,9
ADM,Archer-Daniels-Midland Co,Consumer Staples,41.35,17.45,47.44,38.59,43.015,7.15%,Above 52 Week Low,BEST,HOLD,1,2,17,9
ADP,Automatic Data Processing,Information Technology,108.25,29.34,125.24,95.5,110.37,13.35%,Above 52 Week Low,BEST,SELL,1,3,29,10
ADS,Alliance Data Systems,Information Technology,240.6,13.02,278.33,209,243.665,15.12%,Above 52 Week Low,BEST,BUY,1,1,13,13
ADSK,Autodesk Inc,Information Technology,104.81,-77.07,131.1,81.75,106.425,28.21%,Above 52 Week Low,GOOD,LOOK,2,4,-39,-19
AEE,Ameren Corp,Utilities,52.59,20.38,64.89,51.81,58.35,1.51%,Above 52 Week Low,BEST,SELL,1,3,20,7
AEP,American Electric Power,Utilities,63.38,17.32,78.07,62.69,70.38,1.10%,Above 52 Week Low,BEST,HOLD,1,2,17,9
AES,AES Corp,Utilities,10.06,9.96,12.05,10,11.025,0.60%,Above 52 Week Low,BETTER,BUY,3,1,3,10
AET,Aetna Inc,Health Care,178,18.11,194.4,119.51,156.955,8.44%,Below 52 Week High ,BETTER,HOLD,3,2,6,9
AFL,AFLAC Inc,Financials,83.25,12.24,91.73,68.8,80.265,9.24%,Below 52 Week High ,BETTER,BUY,3,1,4,12
AGN,"Allergan, Plc",Health Care,164.2,10.65,256.8,160.07,208.435,2.58%,Above 52 Week Low,BEST,BUY,1,1,11,11
AIG,"American International Group, Inc.",Financials,58.28,23.22,67.3,57.85,62.575,0.74%,Above 52 Week Low,BETTER,SELL,3,3,8,8
AIV,Apartment Investment & Management,Real Estate,38.21,15.6,46.855,38.85,42.8525,-1.65%,Below 52 Week Low,CAUTION,HOLD,4,2,4,8
AIZ,Assurant Inc,Financials,85.16,33.27,106.985,85.91,96.4475,-0.87%,Below 52 Week Low,CAUTION,SELL,4,3,8,11
AJG,Arthur J. Gallagher & Co.,Financials,64.4,21.05,70.55,53.63,62.09,8.72%,Below 52 Week High ,BETTER,SELL,3,3,7,7
AKAM,Akamai Technologies Inc,Information Technology,62.49,32.55,69.56,44.65,57.105,10.16%,Below 52 Week High ,BETTER,SELL,3,3,11,11
ALB,Albemarle Corp,Materials,105.18,26.03,144.99,90.35,117.67,16.41%,Above 52 Week Low,BEST,SELL,1,3,26,9
ALGN,Align Technology,Health Care,220.71,56.59,287.32,92.61,189.965,23.18%,Below 52 Week High ,BETTER,SELL,3,3,19,19
ALK,Alaska Air Group Inc,Industrials,64.04,9.66,101.43,59.25,80.34,8.08%,Above 52 Week Low,BEST,BUY,1,1,10,10
ALL,Allstate Corp,Financials,90.06,13.26,105.36,77.73,91.545,15.86%,Above 52 Week Low,BEST,BUY,1,1,13,13
ALLE,Allegion,Industrials,77.32,21.07,89.81,66.72,78.265,15.89%,Above 52 Week Low,BEST,SELL,1,3,21,7
ALXN,Alexion Pharmaceuticals,Health Care,108.47,22.18,149.34,96.18,122.76,12.78%,Above 52 Week Low,BEST,SELL,1,3,22,7
AMAT,Applied Materials Inc,Information Technology,45.75,14.08,60.89,34.58,47.735,32.30%,Above 52 Week Low,GOOD,BUY,2,1,7,14
AMD,Advanced Micro Devices Inc,Information Technology,11.22,187,15.65,9.7,12.675,15.67%,Above 52 Week Low,BEST,SELL,1,3,187,62
AME,AMETEK Inc,Industrials,72.05,27.61,78.51,51.31,64.91,8.23%,Below 52 Week High ,BETTER,SELL,3,3,9,9
AMG,Affiliated Managers Group Inc,Financials,179.11,12.24,216.995,148.81,182.9025,20.36%,Above 52 Week Low,GOOD,BUY,2,1,6,12
AMGN,Amgen Inc,Health Care,173.12,13.76,201.23,152.16,176.695,13.77%,Above 52 Week Low,BEST,BUY,1,1,14,14
AMP,Ameriprise Financial,Financials,152.5,12.41,183.9,118.84,151.37,17.07%,Below 52 Week High ,BETTER,BUY,3,1,4,12
AMT,American Tower Corp A,Real Estate,133.57,20.68,155.28,103.36,129.32,13.98%,Below 52 Week High ,BETTER,SELL,3,3,7,7
AMZN,Amazon.com Inc,Consumer Discretionary,1350.5,296.16,1498,812.5,1155.25,9.85%,Below 52 Week High ,BETTER,SELL,3,3,99,99
ANDV,Andeavor,Energy,96.9,18.78,121.71,75.11,98.41,29.01%,Above 52 Week Low,GOOD,HOLD,2,2,9,9
ANSS,ANSYS,Information Technology,148.84,42.53,164.9,94.52,129.71,9.74%,Below 52 Week High ,BETTER,SELL,3,3,14,14
ANTM,Anthem Inc.,Health Care,230.57,19.23,267.95,156.81,212.38,13.95%,Below 52 Week High ,BETTER,HOLD,3,2,6,10
AON,Aon plc,Financials,136.05,20.8,152.78,113.2201,133.00005,10.95%,Below 52 Week High ,BETTER,SELL,3,3,7,7
AOS,A.O. Smith Corp,Industrials,60.24,27.76,68.39,48.925,58.6575,11.92%,Below 52 Week High ,BETTER,SELL,3,3,9,9
APA,Apache Corporation,Energy,37.73,-251.53,57.9,38.14,48.02,-1.07%,Below 52 Week Low,CAUTION,LOOK,4,4,-63,-63
APC,Anadarko Petroleum Corp,Energy,56.2,-21.29,70,39.96,54.98,19.71%,Below 52 Week High ,BETTER,LOOK,3,4,-7,-5
APD,Air Products & Chemicals Inc,Materials,152.8,24.22,175.17,133.6301,154.40005,14.35%,Above 52 Week Low,BEST,SELL,1,3,24,8
APH,Amphenol Corp,Information Technology,84.44,25.9,93.62,67.26,80.44,9.81%,Below 52 Week High ,BETTER,SELL,3,3,9,9
APTV,Aptiv Plc,Consumer Discretionary,89.27,69.74,96.91,82.97,89.94,7.59%,Above 52 Week Low,BEST,SELL,1,3,70,23
ARE,Alexandria Real Estate Equities Inc,Real Estate,114.58,19.03,134.37,106.89,120.63,7.19%,Above 52 Week Low,BEST,HOLD,1,2,19,10
ARNC,Arconic Inc,Industrials,24.45,20.21,31.17,21.755,26.4625,12.39%,Above 52 Week Low,BEST,SELL,1,3,20,7
ATVI,Activision Blizzard,Information Technology,65.83,31.8,74.945,38.93,56.9375,12.16%,Below 52 Week High ,BETTER,SELL,3,3,11,11
AVB,"AvalonBay Communities, Inc.",Real Estate,154.94,17.97,199.52,156.01,177.765,-0.69%,Below 52 Week Low,CAUTION,HOLD,4,2,4,9
AVGO,Broadcom,Information Technology,229.57,15.94,285.68,202.61,244.145,13.31%,Above 52 Week Low,BEST,HOLD,1,2,16,8
AVY,Avery Dennison Corp,Materials,110.77,22.11,123.67,78.471,101.0705,10.43%,Below 52 Week High ,BETTER,SELL,3,3,7,7
AWK,American Water Works Company Inc,Utilities,76.06,26.23,92.37,71.89,82.13,5.80%,Above 52 Week Low,BEST,SELL,1,3,26,9
AXP,American Express Co,Financials,88.34,15,102.385,75.51,88.9475,16.99%,Above 52 Week Low,BEST,HOLD,1,2,15,8
AYI,Acuity Brands Inc,Industrials,145.41,18.22,225.36,142,183.68,2.40%,Above 52 Week Low,BEST,HOLD,1,2,18,9
AZO,AutoZone Inc,Consumer Discretionary,718.57,16.31,797.89,491.13,644.51,9.94%,Below 52 Week High ,BETTER,HOLD,3,2,5,8
BA,Boeing Company,Industrials,329.66,27.29,361.45,163.69,262.57,8.80%,Below 52 Week High ,BETTER,SELL,3,3,9,9
BAC,Bank of America Corp,Financials,29.74,16.34,32.67,22.07,27.37,8.97%,Below 52 Week High ,BETTER,HOLD,3,2,5,8
BAX,Baxter International Inc.,Health Care,62.56,25.12,72.58,48.15,60.365,13.81%,Below 52 Week High ,BETTER,SELL,3,3,8,8
BBT,BB&T Corporation,Financials,51.07,16.26,55.99,41.17,48.58,8.79%,Below 52 Week High ,BETTER,HOLD,3,2,5,8
BBY,Best Buy Co. Inc.,Consumer Discretionary,68.79,19.22,78.59,41.67,60.13,12.47%,Below 52 Week High ,BETTER,HOLD,3,2,6,10
BDX,Becton Dickinson,Health Care,211.44,22.28,248.3888,175.66,212.0244,20.37%,Above 52 Week Low,GOOD,SELL,2,3,11,7
BEN,Franklin Resources,Financials,38,12.67,47.65,37.01,42.33,2.67%,Above 52 Week Low,BEST,BUY,1,1,13,13
BF.B,Brown-Forman Corp.,Consumer Staples,63.33,37.04,69.9028,45.415,57.6589,9.40%,Below 52 Week High ,BETTER,SELL,3,3,12,12
BHF,Brighthouse Financial Inc,Financials,55.44,22.63,75,52.751,63.8755,5.10%,Above 52 Week Low,BEST,SELL,1,3,23,8
BHGE,"Baker Hughes, a GE Company",Energy,27.5,305.56,57.73,28.03,42.88,-1.89%,Below 52 Week Low,CAUTION,SELL,4,3,76,102
BIIB,Biogen Inc.,Health Care,311.79,14.3,370.57,244.28,307.425,15.86%,Below 52 Week High ,BETTER,BUY,3,1,5,14
BK,The Bank of New York Mellon Corp.,Financials,53.29,14.76,58.99,44.91,51.95,9.66%,Below 52 Week High ,BETTER,BUY,3,1,5,15
BLK,BlackRock,Financials,509.38,22.49,594.52,368,481.26,14.32%,Below 52 Week High ,BETTER,SELL,3,3,7,7
BLL,Ball Corp,Materials,38.44,20.56,43.24,35.6,39.42,7.98%,Above 52 Week Low,BEST,SELL,1,3,21,7
BMY,Bristol-Myers Squibb,Health Care,62.69,20.83,66.1,51.12,58.61,5.16%,Below 52 Week High ,BETTER,SELL,3,3,7,7
BRK.B,Berkshire Hathaway,Financials,191.42,30.43,217.62,160.93,189.275,12.04%,Below 52 Week High ,BETTER,SELL,3,3,10,10
BSX,Boston Scientific,Health Care,25.2,20,29.93,23.29,26.61,8.20%,Above 52 Week Low,BEST,SELL,1,3,20,7
BWA,BorgWarner,Consumer Discretionary,51.94,14.15,58.22,37.54,47.88,10.79%,Below 52 Week High ,BETTER,BUY,3,1,5,14
BXP,Boston Properties,Real Estate,112.09,18.05,140.13,111.87,126,0.20%,Above 52 Week Low,BETTER,HOLD,3,2,6,9
C,Citigroup Inc.,Financials,71.87,13.48,80.7,56.14,68.42,10.94%,Below 52 Week High ,BETTER,BUY,3,1,4,13
CA,"CA, Inc.",Information Technology,32.66,14.32,36.56,30.45,33.505,7.26%,Above 52 Week Low,BEST,BUY,1,1,14,14
CAG,Conagra Brands,Consumer Staples,35.49,18.2,41.68,32.16,36.92,10.35%,Above 52 Week Low,BEST,HOLD,1,2,18,9
CAH,Cardinal Health Inc.,Health Care,66.63,12.29,84.88,54.66,69.77,21.90%,Above 52 Week Low,GOOD,BUY,2,1,6,12
CAT,Caterpillar Inc.,Industrials,145.99,21.22,173.24,90.34,131.79,15.73%,Below 52 Week High ,BETTER,SELL,3,3,7,7
CB,Chubb Limited,Financials,140.39,17.5,157.5,130.17,143.835,7.85%,Above 52 Week Low,BEST,HOLD,1,2,18,9
CBG,CBRE Group,Real Estate,41.92,15.82,46.6,30.43,38.515,10.04%,Below 52 Week High ,BETTER,HOLD,3,2,5,8
CBOE,CBOE Holdings,Financials,111.15,35.06,138.54,76.75,107.645,19.77%,Below 52 Week High ,BETTER,SELL,3,3,12,12
CBS,CBS Corp.,Consumer Discretionary,51.8,12.05,70.095,52.75,61.4225,-1.80%,Below 52 Week Low,CAUTION,BUY,4,1,3,12
CCI,Crown Castle International Corp.,Real Estate,103.81,21.45,114.97,86.93,100.95,9.71%,Below 52 Week High ,BETTER,SELL,3,3,7,7
CCL,Carnival Corp.,Consumer Discretionary,66.76,17.48,72.7,54.75,63.725,8.17%,Below 52 Week High ,BETTER,HOLD,3,2,6,9
CDNS,Cadence Design Systems,Information Technology,36.82,34.09,46,29.01,37.505,26.92%,Above 52 Week Low,GOOD,SELL,2,3,17,11
CELG,Celgene Corp.,Health Care,91.02,13.27,147.17,92.85,120.01,-1.97%,Below 52 Week Low,CAUTION,BUY,4,1,3,13
CERN,Cerner,Health Care,61.22,27.09,73.86,51.2617,62.56085,19.43%,Above 52 Week Low,BEST,SELL,1,3,27,9
CF,CF Industries Holdings Inc,Materials,37.46,-59.46,43.98,25.04,34.51,14.82%,Below 52 Week High ,BETTER,LOOK,3,4,-20,-15
CFG,Citizens Financial Group,Financials,42.19,16.04,48.23,31.51,39.87,12.52%,Below 52 Week High ,BETTER,HOLD,3,2,5,8
CHD,Church & Dwight,Consumer Staples,47.38,24.42,54.1799,43.21,48.69495,9.65%,Above 52 Week Low,BEST,SELL,1,3,24,8
CHK,Chesapeake Energy,Energy,2.82,4.7,6.59,2.8,4.695,0.71%,Above 52 Week Low,BETTER,BUY,3,1,2,5
CHRW,C. H. Robinson Worldwide,Industrials,90.47,26,100.18,63.41,81.795,9.69%,Below 52 Week High ,BETTER,SELL,3,3,9,9
CHTR,Charter Communications,Consumer Discretionary,348.65,162.92,408.83,308.3,358.565,13.09%,Above 52 Week Low,BEST,SELL,1,3,163,54
CI,CIGNA Corp.,Health Care,189.27,18.11,227.13,141.93,184.53,16.67%,Below 52 Week High ,BETTER,HOLD,3,2,6,9
CINF,Cincinnati Financial,Financials,70.34,27.48,81.98,68.24,75.11,3.08%,Above 52 Week Low,BEST,SELL,1,3,27,9
CL,Colgate-Palmolive,Consumer Staples,68.95,24.02,77.91,66.26,72.085,4.06%,Above 52 Week Low,BEST,SELL,1,3,24,8
CLX,The Clorox Company,Consumer Staples,127.76,23.44,150.4,124.09,137.245,2.96%,Above 52 Week Low,BEST,SELL,1,3,23,8
CMA,Comerica Inc.,Financials,89.18,18.89,98.18,64.04,81.11,9.17%,Below 52 Week High ,BETTER,HOLD,3,2,6,9
CMCSA,Comcast Corp.,Consumer Discretionary,38.19,18.54,44,34.78,39.39,9.80%,Above 52 Week Low,BEST,HOLD,1,2,19,9
CME,CME Group Inc.,Financials,153.04,32.15,163,114.8176,138.9088,6.11%,Below 52 Week High ,BETTER,SELL,3,3,11,11
CMG,Chipotle Mexican Grill,Consumer Discretionary,266.01,45.86,499,263,381,1.14%,Above 52 Week Low,BEST,SELL,1,3,46,15
CMI,Cummins Inc.,Industrials,165.73,16.83,194.18,143.8301,169.00505,15.23%,Above 52 Week Low,BEST,HOLD,1,2,17,8
CMS,CMS Energy,Utilities,41.77,21.42,50.85,41.07,45.96,1.70%,Above 52 Week Low,BEST,SELL,1,3,21,7
CNC,Centene Corporation,Health Care,100.36,19.12,112.42,65.03,88.725,10.73%,Below 52 Week High ,BETTER,HOLD,3,2,6,10
CNP,CenterPoint Energy,Utilities,25.85,19.73,30.45,25.51,27.98,1.33%,Above 52 Week Low,BEST,HOLD,1,2,20,10
COF,Capital One Financial,Financials,91.8,11.85,106.5,76.05,91.275,13.80%,Below 52 Week High ,BETTER,BUY,3,1,4,12
COG,Cabot Oil & Gas,Energy,23.01,60.55,29.57,21.4,25.485,7.52%,Above 52 Week Low,BEST,SELL,1,3,61,20
COL,Rockwell Collins,Industrials,133.31,22.29,139.63,89.9,114.765,4.53%,Below 52 Week High ,BETTER,SELL,3,3,7,7
COO,The Cooper Companies,Health Care,223.17,22.96,256.39,187.02,221.705,12.96%,Below 52 Week High ,BETTER,SELL,3,3,8,8
COP,ConocoPhillips,Energy,53.24,72.93,61.315,42.265,51.79,13.17%,Below 52 Week High ,BETTER,SELL,3,3,24,24
COST,Costco Wholesale Corp.,Consumer Staples,178.61,30.69,199.88,150,174.94,10.64%,Below 52 Week High ,BETTER,SELL,3,3,10,10
COTY,"Coty, Inc",Consumer Staples,19.96,24.64,21.175,14.24,17.7075,5.74%,Below 52 Week High ,BETTER,SELL,3,3,8,8
CPB,Campbell Soup,Consumer Staples,44.83,14.84,64.23,43.5,53.865,3.06%,Above 52 Week Low,BEST,BUY,1,1,15,15
CRM,Salesforce.com,Information Technology,104.03,520.15,114.52,79.63,97.075,9.16%,Below 52 Week High ,BETTER,SELL,3,3,173,173
CSCO,Cisco Systems,Information Technology,38.77,17.87,42.98,30.36,36.67,9.80%,Below 52 Week High ,BETTER,HOLD,3,2,6,9
CSRA,CSRA Inc.,Information Technology,30.85,15.12,33.79,27.38,30.585,8.70%,Below 52 Week High ,BETTER,HOLD,3,2,5,8
CSX,CSX Corp.,Industrials,50.47,21.94,60.04,45.41,52.725,11.14%,Above 52 Week Low,BEST,SELL,1,3,22,7
CTAS,Cintas Corporation,Industrials,149.32,32.75,169.96,113.79,141.875,12.14%,Below 52 Week High ,BETTER,SELL,3,3,11,11
CTL,CenturyLink Inc,Telecommunication Services,16.2,8.35,27.61,13.161,20.3855,23.09%,Above 52 Week Low,GOOD,BUY,2,1,4,8
CTSH,Cognizant Technology Solutions,Information Technology,75.16,22.44,79.28,54.76,67.02,5.20%,Below 52 Week High ,BETTER,SELL,3,3,7,7
CTXS,Citrix Systems,Information Technology,84.53,20.37,95,73.3346,84.1673,11.02%,Below 52 Week High ,BETTER,SELL,3,3,7,7
CVS,CVS Health,Consumer Staples,70.55,12.36,84,66.45,75.225,6.17%,Above 52 Week Low,BEST,BUY,1,1,12,12
CVX,Chevron Corp.,Energy,112.3,27.52,133.88,102.55,118.215,9.51%,Above 52 Week Low,BEST,SELL,1,3,28,9
CXO,Concho Resources,Energy,140.09,84.39,162.91,106.73,134.82,14.01%,Below 52 Week High ,BETTER,SELL,3,3,28,28
D,Dominion Energy,Utilities,73.31,20.42,85.3,71.59,78.445,2.40%,Above 52 Week Low,BEST,SELL,1,3,20,7
DAL,Delta Air Lines Inc.,Industrials,51.23,10.37,60.79,43.81,52.3,16.94%,Above 52 Week Low,BEST,BUY,1,1,10,10
DE,Deere & Co.,Industrials,153.66,23.14,171.96,106.72,139.34,10.64%,Below 52 Week High ,BETTER,SELL,3,3,8,8
DFS,Discover Financial Services,Financials,72.4,12.13,81.93,57.5,69.715,11.63%,Below 52 Week High ,BETTER,BUY,3,1,4,12
DG,Dollar General,Consumer Discretionary,95.1,21.18,105.82,65.97,85.895,10.13%,Below 52 Week High ,BETTER,SELL,3,3,7,7
DGX,Quest Diagnostics,Health Care,96.42,17.07,112.965,90.1,101.5325,7.01%,Above 52 Week Low,BEST,HOLD,1,2,17,9
DHI,D. R. Horton,Consumer Discretionary,44.55,16.32,53.32,29.3716,41.3458,16.45%,Below 52 Week High ,BETTER,HOLD,3,2,5,8
DHR,Danaher Corp.,Health Care,92.16,22.87,104.82,78.97,91.895,12.08%,Below 52 Week High ,BETTER,SELL,3,3,8,8
DIS,The Walt Disney Company,Consumer Discretionary,101.35,17.78,116.1,96.2,106.15,5.35%,Above 52 Week Low,BEST,HOLD,1,2,18,9
DISCA,Discovery Communications-A,Consumer Discretionary,22.87,11,30.25,15.99,23.12,43.03%,Above 52 Week Low,CAUTION,BUY,4,1,3,11
DISCK,Discovery Communications-C,Consumer Discretionary,21.58,10.37,29.18,14.99,22.085,43.96%,Above 52 Week Low,CAUTION,BUY,4,1,3,10
DISH,Dish Network,Consumer Discretionary,43.77,16.09,66.5,42.48,54.49,3.04%,Above 52 Week Low,BEST,HOLD,1,2,16,8
DLR,Digital Realty Trust Inc,Real Estate,98.96,16.55,127.23,101.101,114.1655,-2.12%,Below 52 Week Low,CAUTION,HOLD,4,2,4,8
DLTR,Dollar Tree,Consumer Discretionary,101.58,26.66,116.65,65.63,91.14,12.92%,Below 52 Week High ,BETTER,SELL,3,3,9,9
DOV,Dover Corp.,Industrials,96.2,23.87,109.06,75.51,92.285,11.79%,Below 52 Week High ,BETTER,SELL,3,3,8,8
DPS,Dr Pepper Snapple Group,Consumer Staples,116.93,26.57,126.65,83.23,104.94,7.67%,Below 52 Week High ,BETTER,SELL,3,3,9,9
DRE,Duke Realty Corp,Real Estate,24.52,19.77,30.14,24.73,27.435,-0.85%,Below 52 Week Low,CAUTION,HOLD,4,2,5,10
DRI,Darden Restaurants,Consumer Discretionary,91.33,22.72,100.11,71.7,85.905,8.77%,Below 52 Week High ,BETTER,SELL,3,3,8,8
DTE,DTE Energy Co.,Utilities,98.49,19.12,116.74,96.56,106.65,2.00%,Above 52 Week Low,BEST,HOLD,1,2,19,10
DUK,Duke Energy,Utilities,74.32,16.7,91.8,72.93,82.365,1.91%,Above 52 Week Low,BEST,HOLD,1,2,17,8
DVA,DaVita Inc.,Health Care,71.91,20.55,80.71,52.51,66.61,10.90%,Below 52 Week High ,BETTER,SELL,3,3,7,7
DVN,Devon Energy Corp.,Energy,34.94,23.93,47.25,28.7947,38.02235,21.34%,Above 52 Week Low,GOOD,SELL,2,3,12,8
DWDP,DowDuPont,Materials,68.21,49.43,77.08,64.01,70.545,6.56%,Above 52 Week Low,BEST,SELL,1,3,49,16
DXC,DXC Technology,Information Technology,91.92,79.93,102.95,67.76,85.355,10.71%,Below 52 Week High ,BETTER,SELL,3,3,27,27
EA,Electronic Arts,Information Technology,116.54,34.48,131.01,81.27,106.14,11.04%,Below 52 Week High ,BETTER,SELL,3,3,11,11
EBAY,eBay Inc.,Information Technology,41.02,24.86,46.99,31.89,39.44,12.70%,Below 52 Week High ,BETTER,SELL,3,3,8,8
ECL,Ecolab Inc.,Materials,127.76,28.08,140.5,119.61,130.055,6.81%,Above 52 Week Low,BEST,SELL,1,3,28,9
ED,Consolidated Edison,Utilities,74.73,18.64,89.7,72.63,81.165,2.89%,Above 52 Week Low,BEST,HOLD,1,2,19,9
EFX,Equifax Inc.,Industrials,114,19.03,147.02,90.72,118.87,25.66%,Above 52 Week Low,GOOD,HOLD,2,2,10,10
EIX,Edison Int'l,Utilities,58.07,13.23,83.38,58.76,71.07,-1.17%,Below 52 Week Low,CAUTION,BUY,4,1,3,13
EL,Estee Lauder Cos.,Consumer Staples,131.46,37.78,138.74,81.69,110.215,5.25%,Below 52 Week High ,BETTER,SELL,3,3,13,13
EMN,Eastman Chemical,Materials,93.57,12.28,104.08,76.02,90.05,10.10%,Below 52 Week High ,BETTER,BUY,3,1,4,12
EMR,Emerson Electric Company,Industrials,66.4,25.74,74.45,56.77,65.61,10.81%,Below 52 Week High ,BETTER,SELL,3,3,9,9
EOG,EOG Resources,Energy,101.04,246.44,119,81.99,100.495,15.09%,Below 52 Week High ,BETTER,SELL,3,3,82,82
EQIX,Equinix,Real Estate,409.98,23.06,495.345,361.9,428.6225,13.29%,Above 52 Week Low,BEST,SELL,1,3,23,8
EQR,Equity Residential,Real Estate,55.26,17.6,70.455,56.07,63.2625,-1.44%,Below 52 Week Low,CAUTION,HOLD,4,2,4,9
EQT,EQT Corporation,Energy,46.25,53.16,67.84,47.13,57.485,-1.87%,Below 52 Week Low,CAUTION,SELL,4,3,13,18
ES,Eversource Energy,Utilities,56.11,18.22,66.15,55.2,60.675,1.65%,Above 52 Week Low,BEST,HOLD,1,2,18,9
ESRX,Express Scripts,Health Care,73.35,10.72,83.485,55.8,69.6425,12.14%,Below 52 Week High ,BETTER,BUY,3,1,4,11
ESS,"Essex Property Trust, Inc.",Real Estate,218.28,18.66,270.04,214.03,242.035,1.99%,Above 52 Week Low,BEST,HOLD,1,2,19,9
ETFC,E*Trade,Financials,48.48,22.14,56,32.25,44.125,13.43%,Below 52 Week High ,BETTER,SELL,3,3,7,7
ETN,Eaton Corporation,Industrials,79.41,17.08,89.85,69.45,79.65,14.34%,Above 52 Week Low,BEST,HOLD,1,2,17,9
ETR,Entergy Corp.,Utilities,72.02,10.65,87.95,69.63,78.79,3.43%,Above 52 Week Low,BEST,BUY,1,1,11,11
EVHC,Envision Healthcare,Health Care,35.34,10.91,73,23.77,48.385,48.67%,Above 52 Week Low,CAUTION,BUY,4,1,3,11
EW,Edwards Lifesciences,Health Care,123.78,32.57,138.48,89.2,113.84,10.62%,Below 52 Week High ,BETTER,SELL,3,3,11,11
EXC,Exelon Corp.,Utilities,35.98,14.51,42.67,33.3,37.985,8.05%,Above 52 Week Low,BEST,BUY,1,1,15,15
EXPD,Expeditors International,Industrials,60.36,25.26,67.54,51.96,59.75,10.63%,Below 52 Week High ,BETTER,SELL,3,3,8,8
EXPE,Expedia Inc.,Consumer Discretionary,123.03,30.99,161,115.55,138.275,6.47%,Above 52 Week Low,BEST,SELL,1,3,31,10
EXR,Extra Space Storage,Real Estate,77.56,18.12,88.56,71.34,79.95,8.72%,Above 52 Week Low,BEST,HOLD,1,2,18,9
F,Ford Motor,Consumer Discretionary,10.43,5.89,13.48,10.19,11.835,2.36%,Above 52 Week Low,BEST,BUY,1,1,6,6
FAST,Fastenal Co,Industrials,52.15,27.02,57.815,39.79,48.8025,9.80%,Below 52 Week High ,BETTER,SELL,3,3,9,9
FB,"Facebook, Inc.",Information Technology,171.58,27.9,195.32,132.44,163.88,12.15%,Below 52 Week High ,BETTER,SELL,3,3,9,9
FBHS,Fortune Brands Home & Security,Industrials,62.44,20.27,73.62,55.25,64.435,13.01%,Above 52 Week Low,BEST,SELL,1,3,20,7
FCX,Freeport-McMoRan Inc.,Materials,17.16,14.67,20.25,11.05,15.65,15.26%,Below 52 Week High ,BETTER,BUY,3,1,5,15
FDX,FedEx Corporation,Industrials,239.27,19.45,274.66,182.89,228.775,12.89%,Below 52 Week High ,BETTER,HOLD,3,2,6,10
FE,FirstEnergy Corp,Utilities,30.64,11.18,35.22,27.93,31.575,9.70%,Above 52 Week Low,BEST,BUY,1,1,11,11
FFIV,F5 Networks,Information Technology,137.25,21.21,149.5,114.63,132.065,8.19%,Below 52 Week High ,BETTER,SELL,3,3,7,7
FIS,Fidelity National Information Services,Information Technology,92.74,22.08,103.65,77.63,90.64,10.53%,Below 52 Week High ,BETTER,SELL,3,3,7,7
FISV,Fiserv Inc,Information Technology,133.05,27.32,144.2,106.2,125.2,7.73%,Below 52 Week High ,BETTER,SELL,3,3,9,9
FITB,Fifth Third Bancorp,Financials,31.1,16.9,33.91,23.2,28.555,8.29%,Below 52 Week High ,BETTER,HOLD,3,2,6,8
FL,Foot Locker Inc,Consumer Discretionary,45.88,9.5,77.86,28.42,53.14,61.44%,Above 52 Week Low,BAD,BUY,5,1,2,10
FLIR,FLIR Systems,Information Technology,46.46,25.53,52.88,33.75,43.315,12.14%,Below 52 Week High ,BETTER,SELL,3,3,9,9
FLR,Fluor Corp.,Industrials,55.31,19.9,62.09,37.0351,49.56255,10.92%,Below 52 Week High ,BETTER,HOLD,3,2,7,10
FLS,Flowserve Corporation,Industrials,40.82,26.17,51.92,37.51,44.715,8.82%,Above 52 Week Low,BEST,SELL,1,3,26,9
FMC,FMC Corporation,Materials,80.87,32.48,98.7,56.53,77.615,18.06%,Below 52 Week High ,BETTER,SELL,3,3,11,11
