Symbol,Name,Sector,Price,Price/Earnings(trades at X times the earnings),52 Week High,52 Week Low,52 Week Avg,P/AA %,  52-Week P/AA % Position,Rating,Action,Rate-to-Num,Act-to-Num,PE/R,PE/A
PBCT,People's United Financial,Financials,18.56,18.02,20.14,15.965,18.0525,7.85%,Below 52 Week High ,BETTER,HOLD,3,2,6,9
PCAR,PACCAR Inc.,Industrials,66.98,15.72,79.69,61.93,70.81,8.15%,Above 52 Week Low,BEST,HOLD,1,2,16,8
PCG,PG&E Corp.,Utilities,38.24,8.75,71.57,38.45,55.01,-0.55%,Below 52 Week Low,CAUTION,BUY,4,1,2,9
PCLN,Priceline.com Inc,Consumer Discretionary,1806.06,24.26,2067.99,1589,1828.495,13.66%,Above 52 Week Low,BEST,SELL,1,3,24,8
PDCO,Patterson Companies,Health Care,32.88,14.05,48.295,32.07,40.1825,2.53%,Above 52 Week Low,BEST,BUY,1,1,14,14
PEG,Public Serv. Enterprise Inc.,Utilities,46.73,16.11,53.28,41.67,47.475,12.14%,Above 52 Week Low,BEST,HOLD,1,2,16,8
PEP,PepsiCo Inc.,Consumer Staples,110.15,21.51,122.51,104.77,113.64,5.14%,Above 52 Week Low,BEST,SELL,1,3,22,7
PFE,Pfizer Inc.,Health Care,33.63,12.69,39.43,31.67,35.55,6.19%,Above 52 Week Low,BEST,BUY,1,1,13,13
PFG,Principal Financial Group,Financials,60.38,11.96,75.585,58.9401,67.26255,2.44%,Above 52 Week Low,BEST,BUY,1,1,12,12
PG,Procter & Gamble,Consumer Staples,80.22,20.46,94.67,80.1,87.385,0.15%,Above 52 Week Low,BETTER,SELL,3,3,7,7
PGR,Progressive Corp.,Financials,51.07,20.76,58.25,36.84,47.545,12.33%,Below 52 Week High ,BETTER,SELL,3,3,7,7
PH,Parker-Hannifin,Industrials,174.51,21.6,212.8,145.38,179.09,20.04%,Above 52 Week Low,GOOD,SELL,2,3,11,7
PHM,Pulte Homes Inc.,Consumer Discretionary,28.67,12.86,35.21,21.06,28.135,18.57%,Below 52 Week High ,BETTER,BUY,3,1,4,13
PKG,Packaging Corporation of America,Materials,111.95,18.57,131.1316,88.47,109.8008,14.63%,Below 52 Week High ,BETTER,HOLD,3,2,6,9
PKI,PerkinElmer,Health Care,72.06,24.68,84.49,52.63,68.56,14.71%,Below 52 Week High ,BETTER,SELL,3,3,8,8
PLD,Prologis,Real Estate,58.33,20.76,67.53,48.69,58.11,13.62%,Below 52 Week High ,BETTER,SELL,3,3,7,7
PM,Philip Morris International,Consumer Staples,100.39,22.36,123.55,96.66,110.105,3.86%,Above 52 Week Low,BEST,SELL,1,3,22,7
PNC,PNC Financial Services,Financials,149.38,17.55,160.07,115.25,137.66,6.68%,Below 52 Week High ,BETTER,HOLD,3,2,6,9
